1,1,1,0,100
1,1,2,100,150
1,1,3,151,200
1,1,4,201,300
1,1,5,301,400
1,1,6,401,1000
1,1,7,1000,10000
2,1,1,0,100
2,1,2,100,170
2,1,3,171,225
2,1,4,226,350
2,1,5,351,450
2,1,6,451,1200
2,1,7,1200,0
1,2,1,0,200
1,2,2,200,350
1,2,3,351,500
1,2,4,501,750
1,2,5,751,1000
1,2,6,1001,1500
1,2,7,1500,10000
2,2,1,0,225
2,2,2,225,375
2,2,3,376,550
2,2,4,551,800
2,2,5,801,1200
2,2,6,1201,1700
2,2,7,1700,10000
1,3,1,0,500
2,3,1,0,550
1,4,1,0,1000
2,4,1,0,1200
1,3,2,500,750
2,3,2,550,800
1,4,2,1000,1500
2,4,2,1200,1750
1,3,3,751,1000
2,3,3,801,1200
1,4,3,1501,2000
2,4,3,1751,2250
1,3,4,1001,1250
2,3,4,1201,1500
1,3,4,2001,3000
2,4,4,2251,3500
1,4,5,1251,1500
2,3,5,1501,1750
1,3,5,3001,4000
2,3,5,3501,4500
1,4,6,1501,2000
2,4,6,1751,2250
1,3,6,4001,5000
2,3,6,4501,5500
1,3,7,2000,10000
2,4,7,2250,10000
1,4,7,5000,10000
2,3,7,5500,10000
3,5,1,0,5
3,6,1,0,10
3,7,1,0,60
3,8,1,0,200
4,5,1,0,5
4,6,1,0,10
4,7,1,0,50
4,8,1,0,250
3,5,2,5,7
3,6,2,10,30
3,7,2,60,100
3,8,2,201,500
4,5,2,5,7
4,6,2,10,25
4,7,2,50,100
4,8,2,250,400
3,5,3,8,10
3,6,3,31,60
3,7,3,101,200
3,8,3,501,1000
4,5,3,8,10
4,6,3,26,50
4,7,3,101,250
4,8,3,401,600
3,5,4,11,20
3,6,4,61,120
3,7,4,201,300
3,8,4,1001,1250
4,5,4,11,20
4,6,4,51,100
4,7,4,251,500
4,8,4,601,1000
3,5,5,21,30
3,6,5,121,180
3,7,5,301,500
3,8,5,1251,1500
4,5,5,21,30
4,6,5,101,150
4,7,5,501,600
4,8,5,1001,1500
3,5,6,31,100
3,6,6,181,500
3,7,6,501,1000
3,8,6,1501,2000
4,5,6,31,100
4,6,6,151,300
4,7,6,601,700
4,8,6,1501,2000
3,5,7,100,10000
3,6,7,500,10000
3,7,7,1000,10000
3,8,7,2000,10000
4,5,7,100,10000
4,6,7,300,10000
4,7,7,700,10000
4,8,7,2000,10000
5,11,1,0,8
6,11,1,0,105
7,11,1,0,70
5,11,2,7.6,8
6,11,2,91,96
7,11,2,70,60
5,11,3,7.1,7.5
6,11,3,81,90
7,11,3,59,50
5,11,4,6.1,7
6,11,4,71,80
7,11,4,49,40
5,11,5,5.1,6
6,11,5,61,70
7,11,5,39,30
5,11,6,4,5
6,11,6,40,60
7,11,6,29,10
5,11,7,4,10000
6,11,7,40,10000
7,11,7,0.1,10000
8,11,1,0,5
9,11,1,0,1.5
10,11,1,0,7.6
8,11,2,5,10
9,11,2,1,1.5
10,11,2,7.6,7.9
8,11,3,11,20
9,11,3,0.65,0.95
10,11,3,8,8.1
8,11,4,21,30
9,11,4,0.5,0.6
10,11,4,8.2,8.3
8,11,5,31,50
9,11,5,0.35,0.45
10,11,5,8.4,8.5
8,11,6,51,100
9,11,6,0.2,0.3
10,11,6,8.6,8.7
8,11,7,100,10000
9,11,7,0.2,10000
10,11,7,8.7,10000
11,11,1,0,0.1
12,11,1,0,0.002
13,11,1,0,0.2
14,11,1,0,1
15,11,1,0,0.015
16,11,1,0,0.015
17,11,1,0,3
18,11,1,0,3
19,11,1,0,9
20,11,1,0,1
21,11,1,0,50
22,11,1,0,200
23,11,1,0,0.02
24,11,1,0,0.1
25,11,1,0,1
26,11,1,0,10
27,11,1,0,2
28,11,1,0,2
29,11,1,0,1
30,11,1,0,10
31,11,1,0,1
32,11,1,0,100
33,11,1,0,0
34,11,1,0,10
35,11,1,0,0
36,11,1,0,0
37,11,1,0,10
38,11,1,0,10
39,11,1,0,0.5
40,11,1,0,0.2
41,11,1,0,2.5
42,11,1,0,10
43,11,1,0,4.4
44,11,1,0,0.62
45,11,1,0,0.12
11,11,2,0.1,0.2
12,11,2,0.002,0.005
13,11,2,0.2,0.3
14,11,2,1.1,1.5
15,11,2,0.015,0.03
16,11,2,0.015,0.03
17,11,2,"3,0 ","  5,0"
18,11,2,3,5
19,11,2,9,15
20,11,2,1,1.6
21,11,2,50,70
22,11,2,200,600
23,11,2,0.02,0.05
24,11,2,0.1,10000
25,11,2,1,10000
26,11,2,10,15
27,11,2,2,5
28,11,2,2,3
29,11,2,1,5
30,11,2,10,25
31,11,2,1,3
32,11,2,100,125
33,11,2,1,5
34,11,2,10,25
35,11,2,1,10000
36,11,2,10,10000
37,11,2,10,50
38,11,2,10,50
39,11,2,0.5,1
40,11,2,0.2,0.3
41,11,2,2.5,5
42,11,2,10,15
43,11,2,4.4,5.5
44,11,2,0.62,0.75
45,11,2,0.12,0.25
11,11,3,0.21,0.3
12,11,3,0.006,0.01
13,11,3,0.31,0.5
14,11,3,1.6,2
15,11,3,0.031,0.05
16,11,3,0.031,0.06
17,11,3,"5,1  ","  8,0"
18,11,3,5.1,8
19,11,3,16,25
20,11,3,1.7,2.1
21,11,3,76,100
22,11,3,601,1000
23,11,3,0.06,0.2
24,11,3,0.2,10000
